,timestamp,Keypad4,Keypad3,Keypad2,Keypad1,Opto4,Opto3,Opto2,Opto1,TTLin2,TTLin1,Mic2,Mic1,ActClose4,ActClose3,ActClose2,ActClose1,TTLout2,TTLout1,Sounder2,Sounder1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1303.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,1304.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1305.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,1309.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,1317.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1317.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,1334.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1334.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,1336.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1336.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,1349.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1349.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1351.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1351.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1366.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,1366.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1368.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1368.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1380.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,1381.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1397.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1398.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1400.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,1403.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,1426.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1837.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,1842.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1842.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,1843.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
33,1844.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1844.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,1861.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1861.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
37,1863.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,1864.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
39,1876.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1876.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,1878.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1878.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
43,1891.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,1891.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,1893.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1893.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
47,1895.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1895.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,1908.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1908.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
51,1925.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,1925.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,1927.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1927.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
55,1937.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1960.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2310.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,2313.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
59,2318.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,2318.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
61,2335.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,2335.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
63,2337.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,2337.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
65,2350.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,2350.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
67,2367.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,2367.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,2369.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,2369.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
71,2381.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,2382.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,2398.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,2399.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
75,2401.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,2401.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
